,open_interest_all,prod_merc_positions_long,prod_merc_positions_short,swap_positions_long_all,swap__positions_short_all,m_money_positions_long_all,m_money_positions_short_all,other_rept_positions_long,other_rept_positions_short,prod_merc_net,swap_net,m_money_net,other_rept_net,Close,High,Low,Open,Volume
count,1047.0,1047.0,1047.0,1047.0,1047.0,1047.0,1047.0,1047.0,1047.0,1047.0,1047.0,1047.0,1047.0,1047.0,1047.0,1047.0,1047.0,1047.0
mean,667966.0649474689,189334.08404966572,346334.18433619867,120278.47946513849,14157.11270296084,116156.74976122254,55481.32187201528,62005.22254059217,42805.61604584527,-157000.10028653295,106121.36676217765,60675.42788920726,19199.606494746895,1129.7564469914041,1141.0728271251194,1119.1404011461318,1129.3383476599809,70250.82617000955
std,160375.43023142155,83586.95959724733,105462.3102475156,23681.777820939315,11797.7820793194,47979.21469134446,49782.816406831575,25531.455022372204,22889.707534834484,101895.24686479327,25718.549078120883,84601.58961585727,29516.898443964525,251.85747342620917,255.26669803679397,248.61201696033436,251.74799505495324,57920.15976899355
min,278773.0,46868.0,102628.0,70515.0,3.0,31123.0,2436.0,10517.0,11012.0,-424543.0,40978.0,-183145.0,-64307.0,527.25,527.25,527.25,527.25,0.0
25%,570790.5,107048.5,276021.5,100581.0,5978.0,77929.5,18281.5,44679.0,25763.5,-229320.5,84916.5,5716.0,381.5,945.875,955.0,933.5,941.0,7958.5
50%,671433.0,200430.0,339275.0,119992.0,11181.0,106536.0,33474.0,60069.0,37647.0,-157475.0,105972.0,67403.0,19495.0,1052.25,1062.25,1042.0,1053.0,75304.0
75%,782500.0,256466.5,406095.5,136602.5,19016.0,143780.5,81726.5,76809.0,53325.5,-86768.5,123440.0,120329.0,36567.5,1347.125,1363.375,1333.5,1343.625,115458.5
max,1054882.0,401986.0,687932.0,187628.0,59532.0,273089.0,243705.0,150317.0,151581.0,81783.0,185600.0,240937.0,103151.0,1771.0,1794.75,1760.5,1778.5,243131.0
