,open_interest_all,prod_merc_positions_long,prod_merc_positions_short,swap_positions_long_all,swap__positions_short_all,m_money_positions_long_all,m_money_positions_short_all,other_rept_positions_long,other_rept_positions_short,prod_merc_net,swap_net,m_money_net,other_rept_net,Close,High,Low,Open,Volume
2007-02-20,496764,61877,272799,131107,353,106536,25797,42076,18258,-210922,130754,80739,23818,771.0,772.25,762.5,766.75,27356
2007-02-27,488437,59017,277356,129227,353,105358,17212,43162,19925,-218339,128874,88146,23237,763.5,779.5,756.0,778.0,5631
2007-03-06,464840,69211,263449,126173,503,81844,22169,43830,16384,-194238,125670,59675,27446,733.0,739.0,732.0,736.0,2208
2007-03-13,462504,67053,269826,126219,962,85035,15516,43531,16984,-202773,125257,69519,26547,744.0,757.5,743.0,753.0,158
2007-03-20,474073,71876,275351,124494,1706,87123,15709,46303,16786,-203475,122788,71414,29517,764.75,765.25,756.75,759.5,30703
2007-03-27,480346,80835,284521,122735,2295,89593,16482,47794,16794,-203686,120440,73111,31000,757.0,761.75,754.75,758.0,23125
2007-04-03,489702,84928,294959,127013,2165,91401,17243,48527,16306,-210031,124848,74158,32221,763.75,782.75,760.75,778.5,46556
2007-04-10,483434,88080,281152,125915,2131,80658,19854,52396,18058,-193072,123784,60804,34338,742.5,753.0,740.25,749.25,58787
2007-04-17,482956,92408,271302,124806,2298,72884,18471,48511,18243,-178894,122508,54413,30268,724.0,737.75,722.5,735.5,23840
2007-04-24,444969,88293,239036,122638,2298,59235,24732,40337,12737,-150743,120340,34503,27600,709.75,721.25,709.25,720.0,9279
2007-05-01,429319,77473,239844,124027,2514,66613,22772,44115,12521,-162371,121513,43841,31594,741.25,743.75,724.5,728.5,6645
2007-05-08,428623,74003,237898,124807,2606,65471,23490,46309,12369,-163895,122201,41981,33940,726.0,730.0,722.0,730.0,1118
2007-05-15,454835,75386,268018,126120,2328,83493,19414,48022,13448,-192632,123792,64079,34574,778.0,781.5,765.5,766.75,43297
2007-05-22,486231,73780,293590,132769,2541,109781,22902,45744,14071,-219810,130228,86879,31673,793.25,802.0,791.25,798.0,39294
2007-05-29,513389,77853,307103,134569,2871,119218,27519,51342,18943,-229250,131698,91699,32399,797.5,813.75,796.75,809.0,43082
2007-06-05,551445,77134,330622,138143,2980,130164,27595,59210,18714,-253488,135163,102569,40496,828.25,830.0,816.75,822.0,59086
2007-06-12,555547,73930,326710,135759,3311,129388,30452,58142,17864,-252780,132448,98936,40278,826.5,832.5,822.75,826.25,49004
2007-06-19,564214,75057,326870,135631,3273,128284,30070,61599,17279,-251813,132358,98214,44320,829.0,856.5,826.75,855.0,38664
2007-06-26,537815,78005,314972,135680,3298,113877,20143,49321,18348,-236967,132382,93734,30973,807.0,811.75,798.75,803.25,24627
2007-07-03,532745,76404,316691,137657,3137,115444,22640,53898,19109,-240287,134520,92804,34789,850.5,866.5,849.25,865.5,7599
2007-07-10,543396,75156,330317,139917,2760,125296,23008,57506,20801,-255161,137157,102288,36705,889.0,887.75,865.0,865.0,6866
2007-07-17,554480,82907,338671,144958,1378,117558,22870,60069,19948,-255764,143580,94688,40121,833.75,874.0,828.5,861.75,11488
2007-07-24,528766,87562,321181,143284,1245,103297,22992,60224,21887,-233619,142039,80305,38337,820.25,828.0,813.5,818.0,5834
2007-07-31,509020,83916,307865,142323,1093,98590,27748,53606,20269,-223949,141230,70842,33337,834.0,838.0,823.5,823.5,11921
2007-08-07,497711,87044,308031,141112,1443,97193,24405,50907,19906,-220987,139669,72788,31001,838.5,839.5,824.0,826.75,3131
2007-08-14,502421,86810,310666,137897,1638,103279,26750,52096,19048,-223856,136259,76529,33048,850.0,860.0,845.5,860.0,4519
2007-08-21,487792,90763,290794,137066,1877,80132,28155,59248,15106,-200031,135189,51977,44142,815.75,824.25,811.5,811.5,5469
2007-08-28,489777,90324,294966,136907,1597,84475,24726,55668,14266,-204642,135310,59749,41402,855.25,860.0,848.25,850.0,6675
2007-09-04,495206,86567,299573,141965,1657,90303,25283,55266,17688,-213006,140308,65020,37578,892.5,899.25,875.25,875.25,6867
2007-09-11,501872,90607,306465,145854,1688,96033,26130,52459,19189,-215858,144166,69903,33270,905.0,902.0,899.75,900.0,1528
2007-09-18,528123,99572,319768,146211,1786,104730,31007,52565,18546,-220196,144425,73723,34019,969.5,977.75,960.25,966.0,58259
2007-09-25,553678,102023,337230,148843,1715,108792,27689,58117,15664,-235207,147128,81103,42453,973.0,982.75,970.0,975.75,47776
2007-10-02,570934,100869,334643,148323,1567,114849,29023,57432,15259,-233774,146756,85826,42173,943.75,994.0,941.5,991.25,110060
2007-10-09,570647,105195,338027,146610,1700,112330,25698,59112,14635,-232832,144910,86632,44477,950.25,952.75,922.0,923.0,81044
2007-10-16,577823,106510,344615,153139,1405,109509,25968,60977,16924,-238105,151734,83541,44053,977.5,994.0,974.25,986.5,44789
2007-10-23,585945,115244,355805,155696,1465,110845,26625,60454,18815,-240561,154231,84220,41639,981.75,988.0,976.25,976.5,53611
2007-10-30,575413,111728,369582,161569,2798,121525,7144,41115,19390,-257854,158771,114381,21725,992.0,1010.25,990.5,1008.5,42021
2007-11-06,573768,106405,376791,163314,2851,132438,6248,39649,20154,-270386,160463,126190,19495,1029.5,1036.5,1004.0,1005.75,9222
2007-11-13,587804,117896,390407,164890,2736,132026,6460,42990,19469,-272511,162154,125566,23521,1044.25,1046.75,1031.5,1031.5,1907
2007-11-20,603146,114150,391020,170596,2750,135986,4809,49057,27328,-276870,167846,131177,21729,1087.0,1088.25,1053.0,1069.0,56462
2007-11-27,591839,97914,368827,171326,2622,127323,7882,49243,28591,-270913,168704,119441,20652,1091.0,1101.5,1082.5,1099.0,54722
2007-12-04,588929,85411,358476,172710,2559,130743,6382,47716,28486,-273065,170151,124361,19230,1091.5,1094.5,1078.25,1082.25,56885
2007-12-11,584420,76230,361013,171932,2682,132385,7377,51647,21377,-284783,169250,125008,30270,1135.5,1137.0,1122.0,1123.25,69557
2007-12-18,586724,79657,358365,173133,2639,129275,13615,54159,24697,-278708,170494,115660,29462,1149.75,1161.75,1146.25,1157.0,57731
2007-12-24,574967,74574,363619,174607,2453,122985,4295,56996,25930,-289045,172154,118690,31066,1181.0,1184.0,1170.0,1175.0,11239
2007-12-31,555441,69629,356734,173019,1852,121254,6607,57494,23526,-287105,171167,114647,33968,1199.0,1202.0,1180.75,1197.0,20777
2008-01-08,562878,73749,363330,174817,1827,120892,8728,61134,28155,-289581,172990,112164,32979,1256.5,1265.5,1239.25,1239.25,5332
2008-01-15,568671,84924,363578,161657,1850,124005,12668,64925,28229,-278654,159807,111337,36696,1301.5,1314.25,1281.25,1293.25,64728
2008-01-22,564184,79604,351574,165137,1957,119123,10181,64018,27830,-271970,163180,108942,36188,1239.5,1255.5,1214.0,1240.0,112662
2008-01-29,570217,83268,355026,165974,2333,114908,6513,67782,28188,-271758,163641,108395,39594,1266.75,1268.0,1247.25,1256.25,76170
2008-02-05,596086,72524,361704,174320,2441,119073,9768,75159,30271,-289180,171879,109305,44888,1323.0,1330.0,1309.5,1328.25,89741
